id,name,ability,description
1,Athletics,Strength,"Jump farther than normal, stay afloat in rough water, or break something."
2,Acrobatics,Dexterity,"Stay on your feet in a tricky situation, or perform an acrobatic stunt."
3,Sleight of Hand,Dexterity,"Pick a pocket, conceal a handheld object, or perform legerdemain."
4,Stealth,Dexterity,Escape notice by moving quietly and hiding behind things.
5,Arcana,Intelligence,"Recall lore about spells, magic items, and the planes of existence."
6,History,Intelligence,"Recall lore about historical events, people, nations, and cultures."
7,Investigation,Intelligence,"Find obscure information in books, or deduce how something works."
8,Nature,Intelligence,"Recall lore about terrain, plants, animals, and weather."
9,Religion,Intelligence,"Recall lore about gods, religious rituals, and holy symbols."
10,Animal Handling,Wisdom,"Calm or train an animal, or get an animal to behave in a certain way."
11,Insight,Wisdom,Discern a person’s mood and intentions.
12,Medicine,Wisdom,"Diagnose an illness, or determine what killed the recently slain."
13,Perception,Wisdom,"Using a combination of senses, notice something that’s easy to miss."
14,Survival,Wisdom,"Follow tracks, forage, find a trail, or avoid natural hazards."
15,Deception,Charisma,"Tell a convincing lie, or wear a disguise convincingly."
16,Intimidation,Charisma,Awe or threaten someone into doing what you want.
17,Performance,Charisma,"Act, tell a story, perform music, or dance."
18,Persuasion,Charisma,Honestly and graciously convince someone of something.
